registration,vote_intention,vote_2020,employment,foreign_born,sex,household_income,education,state,age,agegroup,race
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$75,000 to $79,999",Associate Degree,WI,49,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,46,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Unemployed or temporarily on layoff,The United States,Female,"$65,000 to $69,999",High school graduate,TX,75,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"Less than $14,999",High school graduate,WA,52,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Student,The United States,Female,"$80,000 to $84,999","Completed some college, but no degree",MA,21,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,The United States,Female,"Less than $14,999","Completed some college, but no degree",TX,38,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$40,000 to $44,999","Completed some college, but no degree",CA,69,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Homemaker,The United States,Female,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NC,59,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Self-employed,The United States,Female,"$20,000 to $24,999","Completed some graduate, but no degree",MD,74,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Self-employed,The United States,Female,"$60,000 to $64,999","Completed some college, but no degree",FL,55,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$15,000 to $19,999",Other post high school vocational training,WV,62,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,The United States,Female,"$30,000 to $34,999",High school graduate,OH,42,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NY,81,above 80,White
Registered,"Yes, I will vote",Joe Biden,Self-employed,The United States,Female,"$40,000 to $44,999","Completed some college, but no degree",KY,22,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Male,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IN,71,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Male,"Less than $14,999","College Degree (such as B.A., B.S.)",WA,41,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$40,000 to $44,999","Completed some graduate, but no degree",IA,71,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",SC,55,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$85,000 to $89,999",Associate Degree,MN,68,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$90,000 to $94,999","Completed some college, but no degree",GA,69,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$75,000 to $79,999",Masters degree,PA,33,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,70,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$30,000 to $34,999",Associate Degree,VA,32,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$100,000 to $124,999","Completed some college, but no degree",SC,77,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$100,000 to $124,999",Associate Degree,TX,65,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Female,"Less than $14,999","Completed some college, but no degree",FL,22,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$65,000 to $69,999",Masters degree,AZ,63,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$45,000 to $49,999",Masters degree,IL,79,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Male,"$75,000 to $79,999","Completed some college, but no degree",OH,70,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$80,000 to $84,999",Masters degree,OH,54,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$40,000 to $44,999","Completed some college, but no degree",CA,72,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Unemployed or temporarily on layoff,The United States,Female,"$20,000 to $24,999",Completed some high school,FL,40,40 or less,White
